lemma,A1,A2,A3,A4,A1&A2,State,Polarity,Effect
орудовать,(NOUN Case=Nom),,,,,,"(author, A1, neg, 1)",
осада,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)']","(A2, -, 1)"
осадить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)']","(A2, -, 1)"
осаждать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)']","(A2, -, 1)"
освистать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A2, neg, 0.7)', '(author, A3, neg, 0.7) ']","(A2, -, 1)"
освистывание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A2, neg, 0.7)', '(author, A3, neg, 0.7) ']","(A2, -, 1)"
освистывать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A2, neg, 0.7)', '(author, A3, neg, 0.7) ']","(A2, -, 1)"
осквернение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 1)']","(A2, -, 1)"
осквернитель,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A0, neg, 1)', '(author, A1, pos, 1)']","(A1, -, 1)"
осквернительница,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A0, neg, 1)', '(author, A1, pos, 1)']","(A1, -, 1)"
осквернить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 1)']","(A2, -, 1)"
осквернять,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 1)']","(A2, -, 1)"
оскорбитель,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)']","(A1, -, 1)"
оскорбительница,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)']","(A1, -, 1)"
оскорбительность,(NOUN Case=Gen) (PRON Poss=Yes Person=3),(NOUN Case=Dat),,,,"(A2, neg, 1)","(A2, A1, neg, 1)","(A2, -1, 1)"
оскорбить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
оскорбиться,(NOUN Case=Nom),(NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
оскорбление,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
оскорблять,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
оскорбляться,(NOUN Case=Nom),(NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
осложнение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, A2, neg, 0.7)","(A2, -, 1)"
осложнить,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 0.7)","(A2, -, 1)"
осложниться,(NOUN Case=Nom),,,,,,,"(A1, -, 1)"
осложнять,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 0.7)","(A2, -, 1)"
осложняться,(NOUN Case=Nom),,,,,,,"(A1, -, 1)"
осознавать,(NOUN Case=Nom),(NOUN Case=Acc) (Что+Clause),,,,"(A1, pos, 0.7)","(author, A1, pos, 0.7)","(A2, +, 1)"
осознание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes Person=3) (Что+Clause),,,,"(A1, pos, 0.7)","['(A1, A2, pos, 0.7)', '(author, A1, pos, 0.7)']","['(A2, +, 1)', '(A1, +, 1)']"
осознать,(NOUN Case=Nom),(NOUN Case=Acc) (Что+Clause),,,,"(A1, pos, 0.7)","['(A1, A2, pos, 0.7)', '(author, A1, pos, 0.7)']","['(A2, +, 1)', '(A1, +, 1)']"
осудить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),(NOUN Case=Acc),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A1, A4, neg, 1)', '(A2, A1, neg, 1)', '(A2, A4, neg, 1)', '(author, A4, neg, 1)']","(A2, -, 1)"
осуждать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),(NOUN Case=Acc),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A1, A4, neg, 1)', '(A2, A1, neg, 1)', '(A2, A4, neg, 1)', '(author, A4, neg, 1)']","(A2, -, 1)"
осуждение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),(NOUN Case=Acc),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A1, A4, neg, 1)', '(A2, A1, neg, 1)', '(A2, A4, neg, 1)', '(author, A3, neg, 0.7)', '(author, A4, neg, 1)']","(A2, -, 1)"
осчастливить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"['(A1, pos, 0.7)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","['(A1, pos, 0,7)', '(A2, +, 1)']"
осчастливливание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),,,"['(A1, pos, 0.7)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","['(A1, pos, 0,7)', '(A2, +, 1)']"
осчастливливать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"['(A1, pos, 0.7)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)']","['(A1, pos, 0,7)', '(A2, +, 1)']"
отвергать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"['(A1, neg, 0.7)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)']","(A2, -, 1)"
отвергнуть,(NOUN Case=Nom),(NOUN Case=Acc),,,,"['(A1, neg, 0.7)', '(A2, neg, 1)']","(A1, A2, neg, 1)","(A2, -, 1)"
отвратить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),(NOUN Case=Ins),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A3, neg, 1)', '(A2, A4, neg, 1)']","['(A3, -, 1)', '(A4, -, 1)']"
отвращать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),(NOUN Case=Ins),,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A3, neg, 1)', '(A2, A4, neg, 1)']","['(A3, -, 1)', '(A4, -, 1)']"
отвращение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Dat) (NOUN по отношению Case=Dat),,,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
отгонять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
отказ,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Dat),(NOUN Case=Loc) (VERB VerbForm=Inf),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, neg, 1)', '(A2, A3, pos, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отказать,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Loc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, neg, 1)', '(A2, A3, pos, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отказывать,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Loc) ,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, neg, 1)', '(A2, A3, pos, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отключение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
отмщение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Dat),(NOUN Case=Acc),,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
отогнать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
отомстить,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
отомщать,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
отпугивание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отпугивать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отпугнуть,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отпускать,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, pos, 1)","['(A1, A2, pos, 0.7)', '(A2, A1, pos, 0.7)']","(A2, +, 1)"
отпустить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, pos, 1)","['(A1, A2, pos, 0.7)', '(A2, A1, pos, 0.7)']","(A2, +, 1)"
отравитель,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A1, neg, 1)']","(A1, -, 1)"
отравительница,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A1, neg, 1)']","(A1, -, 1)"
отравить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Dat),(NOUN Case=Ins),,"(A3, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A3, A1, neg, 1)', '(A3, A4, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)', '(author, A4, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отравиться,(NOUN Case=Nom),(NOUN Case=Ins),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
отравление,(NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Dat),,,"(A3, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A3, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","['(A2, -, 1)', '(A3, -, 1)']"
отравлять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Dat),(NOUN Case=Ins),,"(A3, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A3, A1, neg, 1)', '(A3, A4, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)', '(author, A4, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отравляться,(NOUN Case=Nom),(NOUN Case=Ins),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
отрапортовать,(NOUN Case=Nom),(NOUN Case=Dat),(N Case=Loc) (Что+Clause),,,,"['(A1, A2, pos, 1)', '(A1, A3, pos, 0.7)']","['(A2, +, 1)', '(A3, +, 0.7)']"
отругать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","['(A2, -, 1)', '(A3, -, 1)']"
отставание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, neg, 0.7)","(A1, -, 1)"
отставать,(NOUN Case=Nom) ,(NOUN Case=Gen),(NOUN Case=Loc),,,"(A1, neg, 1)","['(A1, A2, neg, 0.7)', '(A1, A3, pos, 0.7)', '(A2, A3, pos, 0.7)']","(A1, -, 1)"
отстать,(NOUN Case=Nom) ,(NOUN Case=Gen),(NOUN Case=Loc),,,"(A1, neg, 1)","['(A1, A2, neg, 0.7)', '(A1, A3, pos, 0.7)', '(A2, A3, pos, 0.7)']","(A1, -, 1)"
оттеснить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
оттеснять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 1)']","['(A1, +, 1)', '(A2, -, 1)']"
отчисление,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 1)', '(A2, A3, pos, 0.7)']","(A2, -, 1)"
отчислить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 1)', '(A2, A3, pos, 0.7)']","(A2, -, 1)"
отчислять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Gen),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 1)', '(A2, A3, pos, 0.7)']","(A2, -, 1)"
отчитать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
отчитывать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
охаять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, pos, 0.7)']","(A2, -, 1)"
оценить,(NOUN Case=Nom),(NOUN Case=Acc) (Что+Clause),,,,,"['(A1, A2, pos, 1)', '(author, A2, pos, 1)', '(author, A1, pos, 1)']","(A2, +, 1)"
очернение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
очернить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
очернять,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
ошибаться,(NOUN Case=Nom),(NOUN Case=Loc) (NOUN Case=Ins),,,,"(A1, neg, 1)","(author, A1, neg, 1)","['(A1, -, 1)', '(A2, -, 1)']"
ошибиться,(NOUN Case=Nom),(NOUN Case=Loc) (NOUN Case=Ins),,,,"(A1, neg, 1)","(author, A1, neg, 1)","['(A1, -, 1)', '(A2, -, 1)']"
ошибка,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Loc) (NOUN Case=Ins),,,,"(A1, neg, 1)","(author, A1, neg, 1)","['(A1, -, 1)', '(A2, -, 1)']"
ошибочка,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Loc) (NOUN Case=Ins),,,,"(A1, neg, 1)","(author, A, neg, 0.7)","['(A1, -, 1)', '(A2, -, 1)']"
оштрафовать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
паника,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, neg, 1)","(A1, A2, neg, 1)","(A1, -, 1)"
партнерство,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN Case=Gen и Case=Gen) (NOUN Case=Gen Plural)']",(NOUN Case=Ins),,,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A2, A1, pos, 1)', '(author, A1, pos, 0.7)', '(author, A2, pos, 0.7)']","['(A1, +, 1)', '(A2, +, 1)']"
пенять,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc) (NOUN Case=Acc),,,"['(A1, neg, 1)', '(A2, neg, 0.7)']","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 0.7)']","(A2, -, 1)"
перебить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)']","(A2, -, 1)"
перевоспитание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, A2, pos, 1)","(A2, +, 1)"
перевоспитать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, pos, 1)","(A2, +, 1)"
перевоспитывать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, pos, 1)","(A2, +, 1)"
передраться,(NOUN Case=Nom),(NOUN Case=Ins),,,(NOUN Case=Nom и NOUN Case=Nom),"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 1)', '(author, A2, neg, 1) ']","['(A1, -, 1)', '(A2, -, 1)']"
перекрывать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
перекрыть,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
перепугаться,(NOUN Case=Nom) ,(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen) (Что+Clause) (VERB VerbForm=Inf)  ,(NOUN Case=Acc) ,,,"(A1, neg, 1) ","['(A1, A2, neg, 1) ', '(A2, A1, neg, 0.7) ', '(A1, A3, pos, 1) ']",
перерезать,(NOUN Case=Nom),(NOUN Case=Acc),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
переругаться,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),,,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
перессориться,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),(NOUN из-за Case=Gen) (NOUN Case=Gen),,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)']","['(A1, -, 1)', '(A2, -, 1)']"
перестараться,(NOUN Case=Nom),(NOUN Case=Loc) (Adverbial Participle Clause),,,,,"['(A1, A2, pos, 0.7)', '(author, A1, neg, 1)']","(A2, -, 1)"
перестреливаться,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom)']",(NOUN Case=Ins),,,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","['(A1, -, 1)', '(A2, -, 1)']"
перестрелка,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN Case=Gen и Case=Gen) (NOUN Case=Gen и NOUN Case=Gen)']",(NOUN Case=Ins),,,,"['(A1, neg, 1)', '(A2, neg, 1)']","['(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","['(A1, -, 1)', '(A2, -, 1)']"
переть,(NOUN Case=Nom),,,,,,"(author, A1, neg, 1)",
перехваливание,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, +, 1)"
перехваливать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, +, 1)"
перехвалить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, pos, 1)","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)', '(A2, A3, pos, 1)', '(author, A1, neg, 0.7)', '(author, A2, neg, 0.7)']","(A2, +, 1)"
плакать,"['(NOUN Case=Nom) ', '(NOUN Case=Dat) (NOUN Case=Gen) ']",,,,,"['(A1, neg, 1) ', '(A2, neg, 1) ']","['(A1, A2, neg, 1) ', '(author, A1, pos, 0.7) ']",
победа,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Ins),(NOUN Case=Loc),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A1, +, 1)', '(A2, -, 1)']"
победитель,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Loc),,,,"['(A0, pos, 1)', '(A1, neg, 1)']","['(A0, A1, neg, 1)', '(A0, A2, pos, 0.7)', '(A1, A0, neg, 0.7)', '(A1, A2, pos, 0.7)']","['(A0, +, 1)', '(A1, -, 1)']"
победительница,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Loc),,,,"['(A0, pos, 1)', '(A1, neg, 1)']","['(A0, A1, neg, 1)', '(A0, A2, pos, 0.7)', '(A1, A0, neg, 0.7)', '(A1, A2, pos, 0.7)']","['(A0, +, 1)', '(A1, -, 1)']"
победить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Loc),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A1, +, 1)', '(A2, -, 1)']"
побеждать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Loc),,,"['(A1, pos, 1)', '(A2, neg, 1)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, pos, 0.7)']","['(A1, +, 1)', '(A2, -, 1)']"
побеспокоиться,(NOUN Case=Nom) ,(NOUN Case=Acc) ,(N Case=Loc) (NOUN Case=Gen) (Что+Clause) ,,,"(A1, neg, 1) ","['(A1, A2, pos, 1) ', '(A1, A3, neg, 0.7) ']","['(A1, -, 1) ', '(A2, -, 1) ']"
